Sequence,Series,Start,Duration,Amplitude,Smooth,Spikes
1,1,0,1000,2.0,True,1
1,2,0,1000,2.0,True,1
1,3,0,1000,2.0,True,1
1,4,0,1000,2.0,True,1
2,1,0,1000,1.2247448713915892,True,1
2,2,0,1000,1.2247448713915892,True,1
2,3,0,1000,1.2247448713915894,True,1
2,4,0,1000,1.2247448713915894,True,1
3,1,0,1000,2.9999999999999996,True,1
3,2,0,1000,2.9999999999999996,True,1
3,3,0,1000,2.9999999999999996,True,1
3,4,0,1000,2.9999999999999996,True,1
4,1,0,1000,1.5275252316519465,True,3
4,2,0,1000,1.5275252316519465,True,3
4,3,0,1000,1.5275252316519465,True,3
4,4,0,1000,1.5275252316519465,True,3
5,1,0,1000,3.7749839131880645,True,1
5,2,0,1000,3.7749839131880645,True,1
5,3,0,1000,3.7749839131880636,True,1
5,4,0,1000,3.7749839131880636,True,1
6,1,0,1000,2.5585020495836215,True,1
6,2,0,1000,2.5585020495836215,True,1
6,3,0,1000,2.5585020495836215,True,1
6,4,0,1000,2.5585020495836215,True,1
7,1,0,1000,7.0,True,1
7,2,0,1000,7.0,True,1
7,3,0,1000,7.000000000000001,True,1
7,4,0,1000,7.000000000000001,True,1
8,1,0,1000,4.898979485566356,True,1
8,2,0,1000,4.898979485566356,True,1
8,3,0,1000,4.898979485566357,True,1
8,4,0,1000,4.898979485566357,True,1
9,1,0,1000,3.9581140290126395,True,1
9,2,0,1000,3.9581140290126395,True,1
9,3,0,1000,3.958114029012639,True,1
9,4,0,1000,3.958114029012639,True,1
10,1,0,1000,3.3911649915626336,True,1
10,2,0,1000,3.3911649915626336,True,1
10,3,0,1000,3.391164991562634,True,1
10,4,0,1000,3.391164991562634,True,1
11,1,0,1000,3.9581140290126386,True,3
11,2,0,1000,3.9581140290126386,True,3
11,3,0,1000,3.958114029012639,True,3
11,4,0,1000,3.958114029012639,True,3
12,1,0,1000,3.7800339851995144,True,1
12,2,0,1000,3.7800339851995144,True,1
12,3,0,1000,3.7800339851995135,True,1
12,4,0,1000,3.7800339851995135,True,1
13,1,0,1000,2.110078100776107,True,3
13,2,0,1000,2.110078100776107,True,3
13,3,0,1000,2.1100781007761076,True,3
13,4,0,1000,2.1100781007761076,True,3
14,1,0,1000,7.0,True,1
14,2,0,1000,2.0,True,1
14,3,0,1000,3.7800339851995135,True,1
14,4,0,1000,2.0000000000000004,True,1
15,1,0,1000,4.898979485566356,True,1
15,2,0,1000,1.2247448713915892,True,1
15,3,0,1000,1.5275252316519465,True,3
15,4,0,1000,2.1100781007761076,True,3
16,1,0,1000,3.9581140290126395,True,1
16,2,0,1000,2.5585020495836215,True,1
16,3,0,1000,2.0000000000000004,True,1
16,4,0,1000,3.7800339851995135,True,1
17,1,0,1000,3.3911649915626336,True,1
17,2,0,1000,1.5275252316519465,True,3
17,3,0,1000,3.7749839131880636,True,1
17,4,0,1000,2.1100781007761076,True,3
18,1,0,1000,3.9581140290126386,True,3
18,2,0,1000,2.110078100776107,True,3
18,3,0,1000,1.5275252316519465,True,3
18,4,0,1000,2.0000000000000004,True,1
19,1,0,1000,3.7800339851995144,True,1
19,2,0,1000,2.105666101663448,True,3
19,3,0,1000,2.0000000000000004,True,1
19,4,0,1000,2.1100781007761076,True,3
20,1,0,1000,2.110078100776107,True,3
20,2,0,1000,2.5585020495836215,True,1
20,3,0,1000,2.1056661016634477,True,3
20,4,0,1000,2.0,True,1
21,1,0,1000,2.1056661016634477,True,3
21,2,0,1000,2.5585020495836215,True,1
21,3,0,1000,1.2247448713915894,True,1
21,4,0,1000,3.7749839131880636,True,1
22,1,0,1000,2.9999999999999996,True,1
22,2,0,1000,3.7749839131880627,True,1
22,3,0,1000,3.958114029012638,True,3
22,4,0,1000,3.7800339851995135,True,1
23,1,0,1000,2.110078100776107,True,3
23,2,0,1000,3.7749839131880627,True,1
23,3,0,1000,2.1056661016634477,True,3
23,4,0,1000,1.2247448713915894,True,1
24,1,0,1000,3.7800339851995144,True,1
24,2,0,1000,2.105666101663448,True,3
24,3,0,1000,2.5585020495836215,True,1
24,4,0,1000,2.110078100776107,True,3
25,1,0,1000,1.5275252316519465,True,3
25,2,0,1000,3.3911649915626336,True,1
25,3,0,1000,3.958114029012638,True,3
25,4,0,1000,2.1056661016634477,True,3
26,1,0,1000,1.2247448713915892,True,1
26,2,0,1000,1.2247448713915892,True,1
26,3,0,1000,2.1100781007761076,True,3
26,4,0,1000,3.7749839131880636,True,1
27,1,0,1000,2.110078100776107,True,3
27,2,0,1000,3.7800339851995144,True,1
27,3,0,1000,1.5275252316519465,True,3
27,4,0,1000,2.9999999999999996,True,1
28,1,0,1000,2.0,True,1
28,2,0,1000,2.0,True,1
28,3,0,1000,2.0000000000000004,True,1
28,4,0,1000,3.7749839131880636,True,1
29,1,0,1000,1.2247448713915892,True,1
29,2,0,1000,2.0,True,1
29,3,0,1000,1.5275252316519465,True,3
29,4,0,1000,3.7800339851995135,True,1
30,1,0,1000,2.9999999999999996,True,1
30,2,0,1000,1.5275252316519465,True,3
30,3,0,1000,2.5585020495836215,True,1
30,4,0,1000,2.1100781007761076,True,3
31,1,0,1000,1.5275252316519465,True,3
31,2,0,1000,3.7749839131880645,True,1
31,3,0,1000,7.000000000000001,True,1
31,4,0,1000,2.0000000000000004,True,1
32,1,0,1000,3.7749839131880645,True,1
32,2,0,1000,2.0,True,1
32,3,0,1000,1.2247448713915894,True,1
32,4,0,1000,1.5275252316519465,True,3
33,1,0,1000,2.5585020495836215,True,1
33,2,0,1000,3.3911649915626345,True,1
33,3,0,1000,2.0,True,1
33,4,0,1000,3.958114029012639,True,3
34,1,0,1000,2.5585020495836215,True,1
34,2,0,1000,2.9999999999999996,True,1
34,3,0,1000,1.5275252316519465,True,3
34,4,0,1000,1.2247448713915894,True,1
35,1,0,1000,1.2247448713915892,True,1
35,2,0,1000,3.7800339851995144,True,1
35,3,0,1000,3.958114029012639,True,3
35,4,0,1000,3.7749839131880636,True,1
36,1,0,1000,1.5275252316519465,True,3
36,2,0,1000,2.9999999999999996,True,1
36,3,0,1000,2.110078100776107,True,3
36,4,0,1000,3.7800339851995135,True,1
37,1,0,1000,1.5275252316519465,True,3
37,2,0,1000,2.9999999999999996,True,1
37,3,0,1000,2.1056661016634477,True,3
37,4,0,1000,3.7749839131880636,True,1
38,1,0,1000,2.9999999999999996,True,1
38,2,0,1000,1.2247448713915892,True,1
38,3,0,1000,2.9999999999999996,True,1
38,4,0,1000,1.2247448713915894,True,1
39,1,0,1000,1.2247448713915892,True,1
39,2,0,1000,1.2247448713915892,True,1
39,3,0,1000,1.2247448713915894,True,1
39,4,0,1000,1.2247448713915894,True,1
40,1,0,1000,1.2247448713915892,True,1
40,2,0,1000,1.5275252316519465,True,3
40,3,0,1000,1.2247448713915894,True,1
40,4,0,1000,3.958114029012639,True,3
