Sequence,Series,Start,Duration,Amplitude,Smooth,Spikes
1,1,0,1000,0.0,True,0
1,2,0,1000,0.2706094104072081,True,1
1,3,0,1000,0.0,True,0
1,4,0,1000,0.0,True,0
2,1,0,1000,0.0,True,0
2,2,0,1000,0.3004756347167529,True,2
2,3,0,1000,0.0,True,0
2,4,0,1000,0.0,True,0
3,1,0,1000,0.0,True,0
3,2,0,1000,0.12812492900286807,True,1
3,3,0,1000,0.0,True,0
3,4,0,1000,0.0,True,0
4,1,0,1000,0.0,True,0
4,2,0,1000,0.15675756466268045,True,3
4,3,0,1000,0.0,True,0
4,4,0,1000,0.0,True,0
5,1,0,1000,0.0,True,0
5,2,0,1000,0.0,True,0
5,3,0,1000,0.0,True,0
5,4,0,1000,0.0,True,0
6,1,0,1000,0.0,True,0
6,2,0,1000,0.22168488798192873,True,1
6,3,0,1000,0.0,True,0
6,4,0,1000,0.0,True,0
7,1,0,1000,0.0,True,0
7,2,0,1000,0.0,True,0
7,3,0,1000,0.0,True,0
7,4,0,1000,0.0,True,0
8,1,0,1000,0.0,True,0
8,2,0,1000,0.0,True,0
8,3,0,1000,0.0,True,0
8,4,0,1000,0.0,True,0
9,1,0,1000,0.0,True,0
9,2,0,1000,0.0,True,0
9,3,0,1000,0.0,True,0
9,4,0,1000,0.0,True,0
10,1,0,1000,0.0,True,0
10,2,0,1000,0.04060052999879827,True,1
10,3,0,1000,0.0,True,0
10,4,0,1000,0.0,True,0
11,1,0,1000,0.0,True,0
11,2,0,1000,0.0,True,0
11,3,0,1000,0.0,True,0
11,4,0,1000,0.0,True,0
12,1,0,1000,0.0,True,0
12,2,0,1000,0.0,True,0
12,3,0,1000,0.0,True,0
12,4,0,1000,0.0,True,0
13,1,0,1000,0.0,True,0
13,2,0,1000,0.0,True,0
13,3,0,1000,0.0,True,0
13,4,0,1000,0.0,True,0
14,1,0,1000,0.0,True,0
14,2,0,1000,0.0,True,0
14,3,0,1000,0.0,True,0
14,4,0,1000,0.0,True,0
15,1,0,1000,0.0,True,0
15,2,0,1000,0.0,True,0
15,3,0,1000,0.0,True,0
