Sequence,Series,Start,Duration,Amplitude,Smooth,Spikes
1,1,0,1000,0.3338759,True,1
1,2,0,1000,1.310763,True,1
1,3,0,1000,0.9470081,True,3
1,4,0,1000,0.4079988,True,1
2,1,0,1000,0.3616062,True,1
2,2,0,1000,1.350501,True,2
2,3,0,1000,0.9920402,True,4
2,4,0,1000,0.4317528,True,2
3,1,0,1000,0.250158,True,1
3,2,0,1000,1.136695,True,1
3,3,0,1000,0.7661923,True,1
3,4,0,1000,0.3390249,True,1
4,1,0,1000,0.2733387,True,3
4,2,0,1000,1.169712,True,3
4,3,0,1000,0.8010528,True,3
4,4,0,1000,0.3584615,True,3
5,1,0,1000,0.2161716,True,1
5,2,0,1000,0.9792459,True,1
5,3,0,1000,0.6587252,True,1
5,4,0,1000,0.2966183,True,1
6,1,0,1000,0.3012201,True,1
6,2,0,1000,1.248178,True,1
6,3,0,1000,0.8794154,True,1
6,4,0,1000,0.3810882,True,1
7,1,0,1000,0.04556702,True,1
7,2,0,1000,0.3616201,True,1
7,3,0,1000,0.1819526,True,1
7,4,0,1000,0.1141859,True,1
8,1,0,1000,0.1147258,True,1
8,2,0,1000,0.6854533,True,1
8,3,0,1000,0.3907587,True,1
8,4,0,1000,0.2075384,True,1
9,1,0,1000,0.1712546,True,1
9,2,0,1000,0.9002445,True,1
9,3,0,1000,0.5527054,True,1
9,4,0,1000,0.2651285,True,1
10,1,0,1000,0.215708,True,1
10,2,0,1000,1.041436,True,1
10,3,0,1000,0.6760524,True,1
10,4,0,1000,0.3082212,True,1
11,1,0,1000,0.1370633,True,3
11,2,0,1000,0.6689307,True,3
11,3,0,1000,0.4363893,True,3
11,4,0,1000,0.2035229,True,3
12,1,0,1000,0.09489564,True,1
12,2,0,1000,0.8775016,True,1
12,3,0,1000,0.5705924,True,1
12,4,0,1000,0.1398194,True,1
13,1,0,1000,0.2116189,True,3
13,2,0,1000,0.9498061,True,3
13,3,0,1000,0.6470595,True,3
13,4,0,1000,0.2843085,True,3
14,1,0,1000,0.1669894,True,1
14,2,0,1000,0.5707276,True,1
14,3,0,1000,0.7370653,True,1
14,4,0,1000,0.1506863,True,2
15,1,0,1000,0.2209337,True,2
15,2,0,1000,0.667681,True,1
15,3,0,1000,0.7797384,True,5
15,4,0,1000,0.2983661,True,2
16,1,0,1000,0.1163236,True,2
16,2,0,1000,0.789736,True,1
16,3,0,1000,0.6895472,True,1
16,4,0,1000,0.18583,True,1
17,1,0,1000,0.1543369,True,1
17,2,0,1000,0.9975892,True,1
17,3,0,1000,0.6911858,True,1
17,4,0,1000,0.2152091,True,1
18,1,0,1000,0.1406284,True,1
18,2,0,1000,0.6835901,True,3
18,3,0,1000,0.5372458,True,1
18,4,0,1000,0.2072032,True,1
19,1,0,1000,0.1107582,True,2
19,2,0,1000,0.8158982,True,1
19,3,0,1000,0.590451,True,1
19,4,0,1000,0.18583,True,1
20,1,0,1000,0.275117,True,1
20,2,0,1000,0.916989,True,1
20,3,0,1000,0.8093049,True,2
20,4,0,1000,0.3392898,True,1
21,1,0,1000,0.2552149,True,1
21,2,0,1000,1.031937,True,1
21,3,0,1000,0.8013262,True,1
21,4,0,1000,0.3357675,True,1
22,1,0,1000,0.09328391,True,2
22,2,0,1000,0.9210232,True,1
22,3,0,1000,0.4923055,True,1
22,4,0,1000,0.09260405,True,3
23,1,0,1000,0.2581279,True,1
23,2,0,1000,0.7840342,True,2
23,3,0,1000,0.5549546,True,1
23,4,0,1000,0.3280901,True,1
24,1,0,1000,0.1740456,True,1
24,2,0,1000,0.8212629,True,2
24,3,0,1000,0.5928009,True,2
24,4,0,1000,0.2638302,True,1
25,1,0,1000,0.1192938,True,3
25,2,0,1000,1.049076,True,2
25,3,0,1000,0.6358033,True,2
25,4,0,1000,0.1621935,True,3
26,1,0,1000,0.1170481,True,1
26,2,0,1000,1.251387,True,1
26,3,0,1000,0.8833711,True,5
26,4,0,1000,0.1790709,True,2
27,1,0,1000,0.247933,True,2
27,2,0,1000,0.9312568,True,2
27,3,0,1000,0.6055422,True,3
27,4,0,1000,0.3337612,True,2
