Sequence,Series,Start,Duration,Amplitude,Smooth,Spikes
1,1,0,1000,0.5778199546571579,True,1
1,2,0,1000,1.1448855838030279,True,1
1,3,0,1000,0.9731434118360973,True,3
1,4,0,1000,0.6387478375697252,True,1
2,1,0,1000,0.6013370103361342,True,1
2,2,0,1000,1.16211057993635,True,2
2,3,0,1000,0.9960121485202879,True,4
2,4,0,1000,0.6570789906852904,True,2
3,1,0,1000,0.5001579750438855,True,1
3,2,0,1000,1.066158993771567,True,1
3,3,0,1000,0.8753241114010284,True,1
3,4,0,1000,0.5822584477704038,True,1
4,1,0,1000,0.5228180371792848,True,3
4,2,0,1000,1.081532246398599,True,3
4,3,0,1000,0.8950155305915088,True,3
4,4,0,1000,0.5987165439504741,True,3
5,1,0,1000,0.4649425770995812,True,1
5,2,0,1000,0.9895685423456022,True,1
5,3,0,1000,0.8116188760742323,True,1
5,4,0,1000,0.5446267529235045,True,1
6,1,0,1000,0.5488352211729856,True,1
6,2,0,1000,1.1172188684407367,True,1
6,3,0,1000,0.9377715073513376,True,1
6,4,0,1000,0.6173234160470507,True,1
7,1,0,1000,0.21346432957288203,True,1
7,2,0,1000,0.6013485678040649,True,1
7,3,0,1000,0.426559022879601,True,1
7,4,0,1000,0.3379140423243758,True,1
8,1,0,1000,0.33871197203523823,True,1
8,2,0,1000,0.8279210711172895,True,1
8,3,0,1000,0.6251069508492126,True,1
8,4,0,1000,0.4555638264831834,True,1
9,1,0,1000,0.4138291918171071,True,1
9,2,0,1000,0.9488121521144215,True,1
9,3,0,1000,0.7434415915187957,True,1
9,4,0,1000,0.5149063021560331,True,1
10,1,0,1000,0.46444375332218646,True,1
10,2,0,1000,1.0205077167763112,True,1
10,3,0,1000,0.8222240570550098,True,1
10,4,0,1000,0.5551767286189146,True,1
11,1,0,1000,0.37022060990712014,True,3
11,2,0,1000,0.8178818374313004,True,3
11,3,0,1000,0.6605976839196456,True,3
11,4,0,1000,0.4511351238819695,True,3
12,1,0,1000,0.30805135935424793,True,1
12,2,0,1000,0.9367505537761908,True,1
12,3,0,1000,0.7553756681281175,True,1
12,4,0,1000,0.37392432389455493,True,1
13,1,0,1000,0.4600205430195482,True,3
13,2,0,1000,0.9745799608036274,True,3
13,3,0,1000,0.8044000870213777,True,3
13,4,0,1000,0.5332058701852409,True,3
14,1,0,1000,0.4086433652954615,True,1
14,2,0,1000,0.7554651547225723,True,1
14,3,0,1000,0.8585250724352784,True,1
14,4,0,1000,0.3881833329755413,True,2
15,1,0,1000,0.47003584969659495,True,2
15,2,0,1000,0.817117494611393,True,1
15,3,0,1000,0.8830279723768665,True,5
15,4,0,1000,0.5462289812889829,True,2
16,1,0,1000,0.34106245762323356,True,2
16,2,0,1000,0.8886709177192647,True,1
16,3,0,1000,0.8303897879911578,True,1
16,4,0,1000,0.4310800389718828,True,1
17,1,0,1000,0.3928573532466969,True,1
17,2,0,1000,0.9987938726283817,True,1
17,3,0,1000,0.8313758476164677,True,1
17,4,0,1000,0.4639063483075005,True,1
18,1,0,1000,0.37500453330593214,True,1
18,2,0,1000,0.8267950773922157,True,3
18,3,0,1000,0.732970531467671,True,1
18,4,0,1000,0.4551957820542717,True,1
19,1,0,1000,0.3328035456541892,True,2
19,2,0,1000,0.9032708342462963,True,1
19,3,0,1000,0.768408094699685,True,1
19,4,0,1000,0.4310800389718828,True,1
20,1,0,1000,0.5245159673451324,True,1
20,2,0,1000,0.9575954260542393,True,1
20,3,0,1000,0.8996137504507142,True,2
20,4,0,1000,0.582485879657181,True,1
21,1,0,1000,0.5051879848135742,True,1
21,2,0,1000,1.015842999680561,True,1
21,3,0,1000,0.8951682523414244,True,1
21,4,0,1000,0.5794544848389733,True,1
22,1,0,1000,0.30542414770282983,True,2
22,2,0,1000,0.9596995363133193,True,1
22,3,0,1000,0.7016448531842873,True,1
22,4,0,1000,0.30430913558419503,True,3
23,1,0,1000,0.508062889807945,True,1
23,2,0,1000,0.885457057117961,True,2
23,3,0,1000,0.7449527501794996,True,1
23,4,0,1000,0.5727914978419285,True,1
24,1,0,1000,0.41718772752802785,True,1
24,2,0,1000,0.9062355654022854,True,2
24,3,0,1000,0.7699356466614596,True,2
24,4,0,1000,0.5136440401678969,True,1
25,1,0,1000,0.3453893455218328,True,3
25,2,0,1000,1.0242441115281062,True,2
25,3,0,1000,0.7973727484683685,True,2
25,4,0,1000,0.4027325415210447,True,3
26,1,0,1000,0.3421229311227179,True,1
26,2,0,1000,1.1186541020351197,True,1
26,3,0,1000,0.9398782367945329,True,5
