Sequence,Series,Start,Duration,Amplitude,Smooth,Spikes
1,1,0,1000,2.451457903392815,True,1
1,2,0,1000,2.350961230571781,True,1
1,3,0,1000,2.406122314492972,True,3
1,4,0,1000,2.39584998254887,True,1
2,1,0,1000,1.4702493428738799,True,1
2,2,0,1000,1.3901317167496436,True,2
2,3,0,1000,1.4258236314951633,True,4
2,4,0,1000,1.432531509477175,True,2
3,1,0,1000,3.4542124397258562,True,1
3,2,0,1000,3.5147055534175604,True,1
3,3,0,1000,3.4580736346375964,True,1
3,4,0,1000,3.541898309511814,True,1
4,1,0,1000,1.930421387959692,True,3
4,2,0,1000,1.9206128095957198,True,3
4,3,0,1000,1.9040746275620855,True,3
4,4,0,1000,1.9462184072316406,True,3
5,1,0,1000,3.409050758801371,True,1
5,2,0,1000,3.4804641777733516,True,1
5,3,0,1000,3.3637624540858577,True,1
5,4,0,1000,3.601452554981144,True,1
6,1,0,1000,2.923322518228385,True,1
6,2,0,1000,2.8889323561227047,True,1
6,3,0,1000,2.8999596217504355,True,1
6,4,0,1000,2.921664794870239,True,1
7,1,0,1000,5.353459243512899,True,1
7,2,0,1000,5.157335153296418,True,1
7,3,0,1000,4.471928734993504,True,1
7,4,0,1000,6.35899313364893,True,1
8,1,0,1000,4.50088477082791,True,1
8,2,0,1000,4.778189003472752,True,1
8,3,0,1000,4.26868418203637,True,1
8,4,0,1000,5.167096388776517,True,1
9,1,0,1000,4.0717797663757445,True,1
9,2,0,1000,4.308819784801816,True,1
9,3,0,1000,4.003633028072991,True,1
9,4,0,1000,4.420055666793357,True,1
10,1,0,1000,3.739372968766855,True,1
10,2,0,1000,3.879196869626284,True,1
10,3,0,1000,3.729805384689118,True,1
10,4,0,1000,3.9282272441900017,True,1
11,1,0,1000,3.800704791329394,True,3
11,2,0,1000,3.7041853372402533,True,3
11,3,0,1000,3.5828641964692345,True,3
11,4,0,1000,4.054012279168973,True,3
12,1,0,1000,2.784610826199988,True,1
12,2,0,1000,3.049201204338432,True,1
12,3,0,1000,2.9177789649564323,True,1
12,4,0,1000,2.96556734729315,True,1
13,1,0,1000,1.5055721992377642,True,3
13,2,0,1000,1.6231204219125226,True,3
13,3,0,1000,1.5381559993380705,True,3
13,4,0,1000,1.6342095529550864,True,3
14,1,0,1000,2.1939372728737676,True,1
14,2,0,1000,3.866054019027294,True,1
14,3,0,1000,2.3584122779467807,True,1
14,4,0,1000,1.9244590761621487,True,2
15,1,0,1000,1.633418180874103,True,2
15,2,0,1000,2.9972747843692273,True,1
15,3,0,1000,1.3975005114105823,True,5
15,4,0,1000,1.8737184971860081,True,2
16,1,0,1000,1.9500145350202316,True,2
16,2,0,1000,3.739748556412751,True,1
16,3,0,1000,2.7220258594495124,True,1
16,4,0,1000,2.0420981226019705,True,1
17,1,0,1000,1.6944943729479636,True,1
17,2,0,1000,3.6752841484905283,True,1
17,3,0,1000,2.001970334998164,True,1
17,4,0,1000,2.2925015188420526,True,1
18,1,0,1000,1.8493252163143996,True,1
18,2,0,1000,3.5028057048439463,True,3
18,3,0,1000,1.6227817037186374,True,1
18,4,0,1000,1.8436081177570214,True,1
19,1,0,1000,1.485959894151047,True,2
19,2,0,1000,2.949292717563335,True,1
19,3,0,1000,2.3319571746053342,True,1
19,4,0,1000,2.092525148018062,True,1
20,1,0,1000,2.8023717311565837,True,1
20,2,0,1000,1.8586748148916075,True,1
20,3,0,1000,2.812524637972462,True,2
20,4,0,1000,2.8213848461715805,True,1
21,1,0,1000,2.3626073441803115,True,1
21,2,0,1000,2.590178216616717,True,1
21,3,0,1000,2.937323367984326,True,1
21,4,0,1000,2.000236569381822,True,1
22,1,0,1000,2.704949490982105,True,3
22,2,0,1000,3.2998562010268224,True,1
22,3,0,1000,3.0571470780010235,True,1
22,4,0,1000,2.5301033693919113,True,3
23,1,0,1000,1.7646156669528528,True,1
23,2,0,1000,1.5825670796691844,True,2
23,3,0,1000,3.0856535871807087,True,1
23,4,0,1000,2.1595527106204035,True,1
24,1,0,1000,1.8934855283797372,True,1
24,2,0,1000,2.9419366685465786,True,1
24,3,0,1000,2.3895223753703347,True,1
24,4,0,1000,2.4157526671855414,True,1
25,1,0,1000,2.185815414398679,True,3
25,2,0,1000,2.165144753822244,True,2
25,3,0,1000,3.5903945629796237,True,2
25,4,0,1000,3.0358516174558963,True,3
26,1,0,1000,1.9384407347342112,True,1
26,2,0,1000,1.5130834460185105,True,1
26,3,0,1000,1.5976406083342996,True,5
26,4,0,1000,1.682304114113663,True,2
27,1,0,1000,3.037669329760022,True,2
27,2,0,1000,1.992032053909014,True,2
27,3,0,1000,2.8016241048978876,True,1
27,4,0,1000,2.697732806607539,True,2
28,1,0,1000,1.9392131169505649,True,2
28,2,0,1000,2.095787358235941,True,1
28,3,0,1000,2.297465214227797,True,1
28,4,0,1000,2.092813696656577,True,2
29,1,0,1000,2.3887983564511948,True,1
29,2,0,1000,1.2960832357216254,True,2
29,3,0,1000,2.260248383805697,True,1
29,4,0,1000,2.285744245239318,True,1
30,1,0,1000,1.9568808706417848,True,1
30,2,0,1000,3.4614006174615723,True,1
30,3,0,1000,2.0800534203869487,True,1
30,4,0,1000,2.432189551539788,True,1
31,1,0,1000,2.3223864913126606,True,1
31,2,0,1000,1.9303471220135393,True,1
31,3,0,1000,2.935814207027869,True,1
31,4,0,1000,3.0542025046837518,True,1
32,1,0,1000,1.8358521395533025,True,2
32,2,0,1000,3.199167847295759,True,3
32,3,0,1000,2.334685066667097,True,1
32,4,0,1000,1.6742629243612501,True,2
33,1,0,1000,2.665855855674557,True,3
33,2,0,1000,2.5988872083869983,True,1
33,3,0,1000,3.2317003269606475,True,1
33,4,0,1000,2.41140532582483,True,3
34,1,0,1000,1.626750520289547,True,2
34,2,0,1000,2.7219640359091613,True,2
34,3,0,1000,3.2714790229857824,True,1
34,4,0,1000,1.8585633809947106,True,2
35,1,0,1000,2.5586118708298176,True,1
35,2,0,1000,1.5758491065193538,True,2
35,3,0,1000,2.6458466338463404,True,1
35,4,0,1000,2.8188155010429288,True,1
36,1,0,1000,2.5143747355641217,True,2
36,2,0,1000,2.2850199916956093,True,2
36,3,0,1000,3.3347332486122223,True,1
36,4,0,1000,2.3423623910225904,True,2
37,1,0,1000,2.678325443566898,True,2
37,2,0,1000,2.262687736159269,True,2
37,3,0,1000,3.3710031693490587,True,1
37,4,0,1000,2.0971203257048785,True,3
38,1,0,1000,1.7735347611863714,True,1
38,2,0,1000,3.1578285324265116,True,1
38,3,0,1000,1.404348853280308,True,3
38,4,0,1000,2.496204672321351,True,1
39,1,0,1000,1.6988990494047862,True,1
39,2,0,1000,1.6543345642570284,True,1
39,3,0,1000,1.5418838100712973,True,2
39,4,0,1000,1.7841450674051527,True,1
40,1,0,1000,2.352229860021228,True,3
40,2,0,1000,1.6617446005306693,True,1
40,3,0,1000,2.210511676945689,True,1
40,4,0,1000,1.9028279433972373,True,3
