Coalition,t (event index),Pruning,Shapley Value
Sum of contribution of events > t,-1,1,1.9719824194908143e-07
Sum of contribution of events ≤ t,-1,1,0.12455866312608123
Sum of contribution of events > t,-2,0,5.029421299695968e-07
Sum of contribution of events ≤ t,-2,0,0.12455896886996926
Sum of contribution of events > t,-3,0,8.500367403030396e-07
Sum of contribution of events ≤ t,-3,0,0.12455931596457959
Sum of contribution of events > t,-4,0,1.1876523494720459e-06
Sum of contribution of events ≤ t,-4,0,0.12455965358018875
Sum of contribution of events > t,-5,0,1.4775227755308152e-06
Sum of contribution of events ≤ t,-5,0,0.12455994345061482
Sum of contribution of events > t,-6,0,1.6910377889871598e-06
Sum of contribution of events ≤ t,-6,0,0.12456015696562826
Sum of contribution of events > t,-7,0,1.8068384379148483e-06
Sum of contribution of events ≤ t,-7,0,0.1245602727662772
Sum of contribution of events > t,-8,0,1.8092803657054902e-06
Sum of contribution of events ≤ t,-8,0,0.12456027520820498
Sum of contribution of events > t,-9,0,1.934915781021118e-06
Sum of contribution of events ≤ t,-9,0,0.12456015288084746
Sum of contribution of events > t,-10,0,2.193473279476166e-06
Sum of contribution of events ≤ t,-10,0,0.12455989759787917
Sum of contribution of events > t,-11,0,2.590646967291832e-06
Sum of contribution of events ≤ t,-11,0,0.12455950379930436
Sum of contribution of events > t,-12,0,3.1301360577344895e-06
Sum of contribution of events ≤ t,-12,0,0.12455896771512925
Sum of contribution of events > t,-13,0,3.814259544014931e-06
Sum of contribution of events ≤ t,-13,0,0.12455828705988824
Sum of contribution of events > t,-14,0,4.64419275522232e-06
Sum of contribution of events ≤ t,-14,0,0.1245574605949223
Sum of contribution of events > t,-15,0,5.620243027806282e-06
Sum of contribution of events ≤ t,-15,0,0.12455648806504906
Sum of contribution of events > t,-16,0,6.742198020219803e-06
Sum of contribution of events ≤ t,-16,0,0.12455536967888474
Sum of contribution of events > t,-17,0,8.009212091565131e-06
Sum of contribution of events ≤ t,-17,0,0.12455410630442203
Sum of contribution of events > t,-18,0,9.420152753591537e-06
Sum of contribution of events ≤ t,-18,0,0.12455269903689623
Sum of contribution of events > t,-19,0,1.0973578318953515e-05
Sum of contribution of events ≤ t,-19,0,0.12455114925466478
Sum of contribution of events > t,-20,0,1.2667946517467498e-05
Sum of contribution of events ≤ t,-20,0,0.12454945862665773
Sum of contribution of events > t,-21,0,1.4501364901661873e-05
Sum of contribution of events ≤ t,-21,0,0.12454762905649841
Sum of contribution of events > t,-22,0,1.64719820022583e-05
Sum of contribution of events ≤ t,-22,0,0.12454566225782036
Sum of contribution of events > t,-23,0,1.8577862530946733e-05
Sum of contribution of events ≤ t,-23,0,0.12454356029257178
Sum of contribution of events > t,-24,0,2.081691287457943e-05
Sum of contribution of events ≤ t,-24,0,0.12454132519848644
Sum of contribution of events > t,-25,0,2.3187143728137017e-05
Sum of contribution of events ≤ t,-25,0,0.12453895894624292
Sum of contribution of events > t,-26,0,2.5686386972665786e-05
Sum of contribution of events ≤ t,-26,0,0.12453646375238896
Sum of contribution of events > t,-27,0,2.8312545269727708e-05
Sum of contribution of events ≤ t,-27,0,0.12453384171426296
Sum of contribution of events > t,-28,0,3.106359206140041e-05
Sum of contribution of events ≤ t,-28,0,0.12453109485842287
Sum of contribution of events > t,-29,0,3.393737599253655e-05
Sum of contribution of events ≤ t,-29,0,0.1245282253101468
Sum of contribution of events > t,-30,0,3.6931827664375305e-05
Sum of contribution of events ≤ t,-30,0,0.12452523506432772
Sum of contribution of events > t,-31,0,4.004484601318836e-05
Sum of contribution of events ≤ t,-31,0,0.1245221263859421
Sum of contribution of events > t,-32,0,4.3274478986859324e-05
Sum of contribution of events ≤ t,-32,0,0.1245189011041075
Sum of contribution of events > t,-33,0,4.661856219172478e-05
Sum of contribution of events ≤ t,-33,0,0.12451556151360274
Sum of contribution of events > t,-34,0,5.007505230605602e-05
Sum of contribution of events ≤ t,-34,0,0.12451210950128734
Sum of contribution of events > t,-35,0,5.364206992089748e-05
Sum of contribution of events ≤ t,-35,0,0.12450854705832899
Sum of contribution of events > t,-36,0,5.7317549362778664e-05
Sum of contribution of events ≤ t,-36,0,0.12450487625412643
Sum of contribution of events > t,-37,0,6.10997024923563e-05
Sum of contribution of events ≤ t,-37,0,0.12450109875760973
Sum of contribution of events > t,-38,0,6.49863425642252e-05
Sum of contribution of events ≤ t,-38,0,0.12449721685610711
Sum of contribution of events > t,-39,0,6.897571869194508e-05
Sum of contribution of events ≤ t,-39,0,0.12449323226325214
Sum of contribution of events > t,-40,0,7.306603342294693e-05
Sum of contribution of events ≤ t,-40,0,0.12448914679139853
Sum of contribution of events > t,-41,0,7.725527510046959e-05
Sum of contribution of events ≤ t,-41,0,0.12448496248573065
Sum of contribution of events > t,-42,0,8.154173754155636e-05
Sum of contribution of events ≤ t,-42,0,0.12448068104870617
Sum of contribution of events > t,-43,0,8.592342585325241e-05
Sum of contribution of events ≤ t,-43,0,0.1244763044193387
Sum of contribution of events > t,-44,0,9.039892256259919e-05
Sum of contribution of events ≤ t,-44,0,0.1244718340560794
Sum of contribution of events > t,-45,0,9.49661247432232e-05
Sum of contribution of events ≤ t,-45,0,0.12446727208420634
Sum of contribution of events > t,-46,0,9.962362423539161e-05
Sum of contribution of events ≤ t,-46,0,0.12446261982247234
Sum of contribution of events > t,-47,0,0.00010436932928860188
Sum of contribution of events ≤ t,-47,0,0.1244578794222325
Sum of contribution of events > t,-48,0,0.00010920188762247563
Sum of contribution of events ≤ t,-48,0,0.12445305232517422
Sum of contribution of events > t,-49,0,0.00011411966383457184
Sum of contribution of events ≤ t,-49,0,0.1244481400474906
Sum of contribution of events > t,-50,0,0.0001191206406801939
Sum of contribution of events ≤ t,-50,0,0.12444314463995397
Sum of contribution of events > t,-51,0,0.00012420354597270488
Sum of contribution of events ≤ t,-51,0,0.1244380674045533
Sum of contribution of events > t,-52,0,0.00012936686538159847
Sum of contribution of events ≤ t,-52,0,0.12443290982954204
Sum of contribution of events > t,-53,0,0.00013460873812437058
Sum of contribution of events ≤ t,-53,0,0.12442767377197743
Sum of contribution of events > t,-54,0,0.00013992759585380554
Sum of contribution of events ≤ t,-54,0,0.12442244435101747
Sum of contribution of events > t,-55,0,0.00014532236941158772
Sum of contribution of events ≤ t,-55,0,0.12441759271733463
Sum of contribution of events > t,-56,0,0.00015079115144908428
Sum of contribution of events ≤ t,-56,0,0.12441317879222333
Sum of contribution of events > t,-57,0,0.00015633252076804638
Sum of contribution of events ≤ t,-57,0,0.12440922456420958
Sum of contribution of events > t,-58,0,0.00016194520518183708
Sum of contribution of events ≤ t,-58,0,0.12440575336664915
Sum of contribution of events > t,-59,0,0.00016762728989124298
Sum of contribution of events ≤ t,-59,0,0.12440280643478036
Sum of contribution of events > t,-60,0,0.00017337793856859207
Sum of contribution of events ≤ t,-60,0,0.12440040116384625
Sum of contribution of events > t,-61,0,0.00017919553630053997
Sum of contribution of events ≤ t,-61,0,0.12439857454411686
Sum of contribution of events > t,-62,0,0.00018507864698767663
Sum of contribution of events ≤ t,-62,0,0.12439729736745357
Sum of contribution of events > t,-63,0,0.00019102589413523674
Sum of contribution of events ≤ t,-63,0,0.12439642160385847
Sum of contribution of events > t,-64,0,0.00019703630916774272
Sum of contribution of events ≤ t,-64,0,0.12439617274142802
Sum of contribution of events > t,-65,0,0.00020310831442475318
Sum of contribution of events ≤ t,-65,0,0.12439648884534836
Sum of contribution of events > t,-66,0,0.00020924019254744053
Sum of contribution of events ≤ t,-66,0,0.12439758814685047
Sum of contribution of events > t,-67,0,0.00021543094888329506
Sum of contribution of events ≤ t,-67,0,0.12439948829635977
Sum of contribution of events > t,-68,0,0.00022167961485683918
Sum of contribution of events ≤ t,-68,0,0.1244023839700967
Sum of contribution of events > t,-69,0,0.00022798414528369903
Sum of contribution of events ≤ t,-69,0,0.1244067440032959
Sum of contribution of events > t,-70,0,0.00023434467986226083
Sum of contribution of events ≤ t,-70,0,0.1244130557179451
Sum of contribution of events > t,-71,0,0.00024075867608189583
Sum of contribution of events ≤ t,-71,0,0.12441946219652891
Sum of contribution of events > t,-72,0,0.00024722554720938203
Sum of contribution of events ≤ t,-72,0,0.1244259214233607
Sum of contribution of events > t,-73,0,0.0002537439651787281
Sum of contribution of events ≤ t,-73,0,0.12443243206292391
Sum of contribution of events > t,-74,0,0.0002603130303323269
Sum of contribution of events ≤ t,-74,0,0.12443899323046208
Sum of contribution of events > t,-75,0,0.0002669309824705124
Sum of contribution of events ≤ t,-75,0,0.12444560317695141
Sum of contribution of events > t,-76,0,0.0002735979612916708
Sum of contribution of events ≤ t,-76,0,0.12445226214267313
Sum of contribution of events > t,-77,0,0.00028031108900904655
Sum of contribution of events ≤ t,-77,0,0.1244589670188725
Sum of contribution of events > t,-78,0,0.000287070469930768
Sum of contribution of events ≤ t,-78,0,0.12446571805886925
Sum of contribution of events > t,-79,0,0.0002938742749392986
Sum of contribution of events ≤ t,-79,0,0.1244725133292377
Sum of contribution of events > t,-80,0,0.000300722299143672
Sum of contribution of events ≤ t,-80,0,0.12447935271076858
Sum of contribution of events > t,-81,0,0.00030761265382170676
Sum of contribution of events ≤ t,-81,0,0.12448623433709144
Sum of contribution of events > t,-82,0,0.0003145447317510843
Sum of contribution of events ≤ t,-82,0,0.12449315748177468
Sum of contribution of events > t,-83,0,0.0003215172439813614
Sum of contribution of events ≤ t,-83,0,0.12450012094154954
Sum of contribution of events > t,-84,0,0.0003285293933004141
Sum of contribution of events ≤ t,-84,0,0.12450712391920388
Sum of contribution of events > t,-85,0,0.0003355803545564413
Sum of contribution of events ≤ t,-85,0,0.12451416554860771
Sum of contribution of events > t,-86,0,0.0003426683880388737
Sum of contribution of events ≤ t,-86,0,0.12452124409377575
Sum of contribution of events > t,-87,0,0.0003497932907193899
Sum of contribution of events ≤ t,-87,0,0.12452835941500962
Sum of contribution of events > t,-88,0,0.00035695342905819416
Sum of contribution of events ≤ t,-88,0,0.12453550973720849
Sum of contribution of events > t,-89,0,0.0003641485869884491
Sum of contribution of events ≤ t,-89,0,0.12454269494861364
Sum of contribution of events > t,-90,0,0.0003713770508766174
Sum of contribution of events ≤ t,-90,0,0.124549913354218
Sum of contribution of events > t,-91,0,0.00037863883748650554
Sum of contribution of events ≤ t,-91,0,0.1245571648851037
Sum of contribution of events > t,-92,0,0.0003859312981367111
Sum of contribution of events ≤ t,-92,0,0.12456444688886405
Sum of contribution of events > t,-93,0,0.000393255677074194
Sum of contribution of events ≤ t,-93,0,0.12457176065817475
Sum of contribution of events > t,-94,0,0.00040060930140316486
Sum of contribution of events ≤ t,-94,0,0.12457910357601941
Sum of contribution of events > t,-95,0,0.00040799257159233095
Sum of contribution of events ≤ t,-95,0,0.1245864758528769
Sum of contribution of events > t,-96,0,0.0004154034350067377
Sum of contribution of events ≤ t,-96,0,0.12459387559629977
Sum of contribution of events > t,-97,0,0.00042284216172993184
Sum of contribution of events ≤ t,-97,0,0.12460130300931632
Sum of contribution of events > t,-98,0,0.0004303064979612827
Sum of contribution of events ≤ t,-98,0,0.12460875583067536
Sum of contribution of events > t,-99,0,0.0004377968404442072
Sum of contribution of events ≤ t,-99,0,0.12461623447202146
Sum of contribution of events > t,-100,0,0.0004453117847442627
Sum of contribution of events ≤ t,-100,0,0.12462373746559025
Sum of contribution of events > t,-101,0,0.0004528509173542261
Sum of contribution of events ≤ t,-101,0,0.12463126447983086
Sum of contribution of events > t,-102,0,0.0004604125712066889
Sum of contribution of events ≤ t,-102,0,0.12463881382532417
Sum of contribution of events > t,-103,0,0.0004679968226701021
Sum of contribution of events ≤ t,-103,0,0.12464638552628457
Sum of contribution of events > t,-104,0,0.00047560244426131246
Sum of contribution of events ≤ t,-104,0,0.1246539784297347
Sum of contribution of events > t,-105,0,0.00048322774842381476
Sum of contribution of events ≤ t,-105,0,0.12466159075126051
Sum of contribution of events > t,-106,0,0.0004908739812672138
Sum of contribution of events ≤ t,-106,0,0.12466922377422451
Sum of contribution of events > t,-107,0,0.0004985378049314022
Sum of contribution of events ≤ t,-107,0,0.1246768741607666
Sum of contribution of events > t,-108,0,0.0005062211342155933
Sum of contribution of events ≤ t,-108,0,0.12468454387784005
Sum of contribution of events > t,-109,0,0.0005139211118221282
Sum of contribution of events ≤ t,-109,0,0.12469223000481724
Sum of contribution of events > t,-110,0,0.0005216375682502985
Sum of contribution of events ≤ t,-110,0,0.12469993224926293
Sum of contribution of events > t,-111,0,0.0005293695610016585
Sum of contribution of events ≤ t,-111,0,0.12470764985494316
Sum of contribution of events > t,-112,0,0.0005371174179017544
Sum of contribution of events ≤ t,-112,0,0.12471538300439715
Sum of contribution of events > t,-113,0,0.0005448791347444057
Sum of contribution of events ≤ t,-113,0,0.1247231297455728
Sum of contribution of events > t,-114,0,0.0005526544619351625
Sum of contribution of events ≤ t,-114,0,0.12473088986612857
Sum of contribution of events > t,-115,0,0.0005604416541755199
Sum of contribution of events ≤ t,-115,0,0.12473866155743599
Sum of contribution of events > t,-116,0,0.0005682421680539846
Sum of contribution of events ≤ t,-116,0,0.12474644624628127
Sum of contribution of events > t,-117,0,0.0005760528333485127
Sum of contribution of events ≤ t,-117,0,0.12475424085557461
Sum of contribution of events > t,-118,0,0.0005838742889463901
Sum of contribution of events ≤ t,-118,0,0.1247620459459722
Sum of contribution of events > t,-119,0,0.0005917051900178194
Sum of contribution of events ≤ t,-119,0,0.12476986009441317
Sum of contribution of events > t,-120,0,0.0005995448473840952
Sum of contribution of events ≤ t,-120,0,0.12477768272720277
Sum of contribution of events > t,-121,0,0.000607393840327859
Sum of contribution of events ≤ t,-121,0,0.12478551445715129
Sum of contribution of events > t,-122,0,0.000615249652415514
Sum of contribution of events ≤ t,-122,0,0.12479335252195596
Sum of contribution of events > t,-123,0,0.0006231147833168506
Sum of contribution of events ≤ t,-123,0,0.12480119732022285
Sum of contribution of events > t,-124,0,0.0006309882942587137
Sum of contribution of events ≤ t,-124,0,0.12480904763005674
Sum of contribution of events > t,-125,0,0.000638866774737835
Sum of contribution of events ≤ t,-125,0,0.12481690245866775
Sum of contribution of events > t,-126,0,0.000646751020103693
Sum of contribution of events ≤ t,-126,0,0.12482476264983415
Sum of contribution of events > t,-127,0,0.0006546385120600462
Sum of contribution of events ≤ t,-127,0,0.12483262541331351
Sum of contribution of events > t,-128,0,0.0006625288780778647
Sum of contribution of events ≤ t,-128,0,0.1248404906783253
Sum of contribution of events > t,-129,0,0.0006704233214259148
Sum of contribution of events ≤ t,-129,0,0.12484835949912668
Sum of contribution of events > t,-130,0,0.000678317129611969
Sum of contribution of events ≤ t,-130,0,0.12485622725635767
Sum of contribution of events > t,-131,0,0.000686213918030262
Sum of contribution of events ≤ t,-131,0,0.12486409743130207
Sum of contribution of events > t,-132,0,0.0006941104382276536
Sum of contribution of events ≤ t,-132,0,0.12487196677550673
Sum of contribution of events > t,-133,0,0.0007020053826272488
Sum of contribution of events ≤ t,-133,0,0.12487983394414187
Sum of contribution of events > t,-134,0,0.0007099019102752208
Sum of contribution of events ≤ t,-134,0,0.12488770215958357
Sum of contribution of events > t,-135,0,0.0007177931759506464
Sum of contribution of events ≤ t,-135,0,0.12489556447975338
Sum of contribution of events > t,-136,0,0.000725683256983757
Sum of contribution of events ≤ t,-136,0,0.12490342501178384
Sum of contribution of events > t,-137,0,0.0007335704918950796
Sum of contribution of events ≤ t,-137,0,0.12491128218360245
Sum of contribution of events > t,-138,0,0.0007414518631994725
Sum of contribution of events ≤ t,-138,0,0.1249191327728331
Sum of contribution of events > t,-139,0,0.0007493307553231716
Sum of contribution of events ≤ t,-139,0,0.12492698023095727
Sum of contribution of events > t,-140,0,0.0007572023998945952
Sum of contribution of events ≤ t,-140,0,0.12493481982313097
