Random Seed,NSamples,Feature,Shapley Value,Entity,Tolerance
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.005352346631884582,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.010831779350837097,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.0008097572286923715,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.015807121765365213,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.0031143448700507483,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,0.004970353849232201,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.0029812417867283083,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.002982604658355321,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
42,32000,Feature 0,0.0,0.0,0.01
42,32000,Feature 1,-0.0017331892097989757,0.0,0.01
42,32000,Feature 2,0.0,0.0,0.01
42,32000,Feature 3,0.0,0.0,0.01
42,32000,Pruned Events,0.0,0.0,0.01
